id,full_name,TEAM_ABBREVIATION,promedio_pts,minutos,intentos_tiro,efg_pct,tiros_libres,uso_balon
1629029,Luka Dončić,DAL,33.9,37.5,23.2,0.565,8.8,35.5
201939,Stephen Curry,GSW,26.4,32.7,19.5,0.582,5.1,30.1
1628983,Shai Gilgeous-Alexander,OKC,30.1,34.2,19.8,0.568,8.7,32.8
1628369,Jayson Tatum,BOS,26.9,35.8,19.3,0.550,6.7,29.8
203999,Nikola Jokić,DEN,26.4,34.6,15.7,0.630,5.5,28.2
1630162,Anthony Edwards,MIN,25.9,35.1,19.8,0.542,6.4,32.3
203507,Giannis Antetokounmpo,MIL,30.4,35.2,18.8,0.616,10.7,33.0
201142,Kevin Durant,PHX,27.1,37.2,19.1,0.586,6.5,29.1
2544,LeBron James,LAL,25.7,35.3,17.9,0.596,5.7,29.4
203954,Joel Embiid,PHI,34.7,33.6,21.8,0.583,11.6,38.8
1626164,Devin Booker,PHX,27.1,36.0,19.2,0.553,7.0,29.8
203081,Damian Lillard,MIL,24.3,35.3,17.0,0.540,7.0,27.4
1629630,Ja Morant,MEM,25.1,32.2,19.8,0.505,7.8,31.5
1628378,Donovan Mitchell,CLE,26.6,35.3,19.8,0.558,5.8,30.8
1629027,Trae Young,ATL,25.7,36.0,18.7,0.518,8.2,30.5
202681,Kyrie Irving,DAL,25.6,35.0,19.5,0.573,4.0,27.8
1628389,Bam Adebayo,MIA,19.3,34.0,14.2,0.521,5.3,24.5
1628368,De'Aaron Fox,SAC,26.6,35.9,20.9,0.528,5.7,30.2
1630596,Evan Mobley,CLE,15.7,30.6,11.0,0.598,3.6,20.1
1630163,LaMelo Ball,CHA,23.9,32.3,19.0,0.510,4.8,31.2
1629636,Darius Garland,CLE,18.0,33.3,14.8,0.523,3.8,24.8
1628973,Jalen Brunson,NYK,28.7,35.4,21.4,0.543,6.5,32.5
201151,Russell Westbrook,LAC,11.1,22.5,10.1,0.480,2.6,23.1
201935,James Harden,LAC,16.6,34.3,11.4,0.538,4.8,20.6
202695,Kawhi Leonard,LAC,23.7,34.3,16.9,0.585,4.4,26.2
202331,Paul George,PHI,22.6,33.8,16.7,0.582,4.8,27.1
1630224,Jalen Green,HOU,19.6,31.7,16.2,0.501,4.4,26.8
1630567,Scottie Barnes,TOR,19.9,34.9,15.7,0.518,4.5,24.8
1630178,Tyrese Haliburton,IND,20.1,32.2,15.2,0.572,4.0,25.4
1631094,Paolo Banchero,ORL,22.6,35.0,17.6,0.504,7.0,29.7
1641705,Victor Wembanyama,SAS,21.4,29.7,16.8,0.526,5.2,32.2
1631095,Chet Holmgren,OKC,16.5,29.4,11.6,0.603,3.5,21.6
1630166,Denik Avdija,POR,14.7,30.1,10.6,0.562,4.1,20.1
1627783,Pascal Siakam,IND,21.7,33.2,16.1,0.568,4.8,25.8
1628384,OG Anunoby,NYK,14.7,34.0,11.6,0.567,2.2,17.8
1627734,Domantas Sabonis,SAC,19.4,35.7,13.0,0.612,5.1,22.2
202696,Nikola Vučević,CHI,18.0,34.3,15.0,0.520,2.8,22.5
1626157,Karl-Anthony Towns,NYK,21.8,32.7,15.3,0.582,4.9,27.0
1628991,Jaren Jackson Jr.,MEM,22.5,31.6,17.1,0.512,5.8,28.6
1629008,Michael Porter Jr.,DEN,16.7,31.3,13.2,0.590,2.1,20.4
1628969,Mikal Bridges,NYK,19.6,34.8,15.8,0.522,3.3,22.9
1629651,Nic Claxton,BKN,11.8,29.8,7.9,0.629,2.6,15.2
1628386,Jarrett Allen,CLE,16.5,31.7,10.6,0.634,4.1,18.5
1629014,Anfernee Simons,POR,22.6,34.4,17.9,0.530,4.2,28.1
1629627,Zion Williamson,NOP,22.9,31.5,15.6,0.573,7.2,29.8
1627742,Brandon Ingram,NOP,20.8,32.9,16.4,0.528,4.8,27.2
1628971,Clemons Johnson,ATL,16.1,28.4,11.5,0.540,3.1,20.2
1629001,CJ McCollum,NOP,20.0,32.7,16.2,0.545,2.6,24.1
1629631,Tyrese Maxey,PHI,25.9,37.5,20.3,0.524,5.4,28.0
1630193,Immanuel Quickley,TOR,17.0,29.2,13.0,0.525,3.7,23.0
